epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5311,2.28808,4.84037,2.37978,0.00137,0.13333,0.00198,0.00038,1.97058,4.7234,2.55459,7e-05,7e-05,7e-05
2,13.2983,1.67287,4.41004,1.90056,0.0184,0.83333,0.19614,0.13116,1.15553,3.96737,1.4472,0.00014703,0.00014703,0.00014703
3,15.9552,1.28036,3.72714,1.42518,0.01004,1,0.43046,0.31691,1.0097,3.58486,1.11914,0.000220892,0.000220892,0.000220892
4,19.2945,1.18868,3.14471,1.28457,0.00826,1,0.42229,0.27807,1.04854,3.40786,1.12706,0.000291586,0.000291586,0.000291586
5,22.408,1.14598,2.90679,1.31046,0.0086,1,0.51593,0.35316,1.02908,3.25787,1.12055,0.000359112,0.000359112,0.000359112
6,25.0549,1.11458,2.52791,1.27991,0.00972,1,0.61698,0.46082,0.94507,3.24168,1.09628,0.00042347,0.00042347,0.00042347
7,27.7434,1.11328,2.23059,1.29171,0.01122,1,0.68618,0.48752,0.96705,3.00357,1.09271,0.00048466,0.00048466,0.00048466
8,30.3787,1.11166,2.05618,1.24167,0.4112,0.96667,0.95409,0.67878,0.99734,2.77808,1.1403,0.000542682,0.000542682,0.000542682
9,34.6415,1.18556,2.0065,1.2496,0.97793,0.63124,0.995,0.74071,1.00698,2.36903,1.1683,0.000597536,0.000597536,0.000597536
10,37.3531,1.07008,1.8314,1.2049,0.9823,0.62523,0.995,0.71944,0.99436,2.25239,1.12523,0.000649222,0.000649222,0.000649222
11,39.9787,1.17581,1.81298,1.1879,0.9636,0.77124,0.995,0.71452,1.13058,2.18264,1.20993,0.00069774,0.00069774,0.00069774
12,42.6769,1.11073,1.8342,1.18292,0.97984,0.6729,0.995,0.66387,1.21661,2.11145,1.31524,0.00074309,0.00074309,0.00074309
